,time,sex,vegan,rest,games,series,books,english,old_days,child_offence_no,child_offence_infrequently,child_offence_often,dvach_best_bord,dvach_doesn't_know,dvach_hate_abu,dvach_vk_pub,gender_other,gender_bi,gender_hetero,antisemetism_yes,antisemetism_no,antisemetism_afraid,subject_literature,subject_math,subject_IT,subject_history,subject_foreign_languages,subject_physics,subject_biology,subject_chemistry,crimea_neutral,crimea_no,crimea_yes,putin_good,rebel,films_action,films_detective,films_anime,films_drama,films_comedy,films_melodrama,films_historical,films_tragedy,films_horror,films_fantasy
98,2019-10-06 13:27:31,0,1,0,6,4,5,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1
99,2019-10-06 13:59:19,0,1,0,3,4,2,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1
100,2019-10-06 14:06:01,0,2,0,4,2,1,2,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1
101,2019-10-06 14:06:07,0,1,0,1,5,2,4,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
102,2019-10-06 14:08:55,1,2,0,4,2,6,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0
103,2019-10-06 14:11:17,0,0,0,5,4,5,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1
104,2019-10-06 14:13:30,0,1,0,2,1,1,2,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
105,2019-10-06 14:15:49,1,1,0,5,5,3,3,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1
106,2019-10-06 14:17:38,1,2,0,4,3,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0
107,2019-10-06 14:18:05,1,2,0,2,4,2,2,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1
